Ch1 Amplitude,Ch2 Amplitude,Cluster
999.7557,1056.78772,1
1004.5235,1079.91016,1
1020.19653,1017.8692,1
1034.652,1075.68152,1
1047.87622,1077.211,1
1047.93689,1123.89856,1
1050.40051,1024.421,1
1053.87244,1033.24622,1
1055.71753,966.5826,1
1060.30688,1027.47742,1
1062.02661,950.3824,1
1063.61182,1055.47656,1
1066.85461,1068.86926,1
1068.868,1050.5321,1
1070.02356,1134.97009,1
1070.86426,961.6305,1
1070.88513,982.923157,1
1071.43372,920.872864,1
1072.62622,1129.54675,1
1073.868,984.674561,1
1074.92346,1032.95874,1
1075.35571,1018.11578,1
1076.85962,1011.357,1
1077.50183,982.911,1
1077.73047,1025.5885,1
1078.31958,1016.82874,1
1078.68982,951.9498,1
1079.15686,1037.41785,1
1079.50256,994.310364,1
1079.60413,1060.54785,1
1079.94434,1117.16577,1
1080.07776,936.2285,1
1080.8075,923.2754,1
1082.02222,980.107361,1
1083.81873,997.083435,1
1084.71375,1072.64722,1
1085.489,1099.76379,1
1085.52368,1104.18787,1
1085.67322,970.855835,1
1087.603,1071.249,1
1087.704,1047.51135,1
1088.154,905.8658,1
1088.70715,1057.18091,1
1089.16443,1086.01855,1
1089.57617,1066.489,1
1090.34766,1069.78479,1
1090.4574,1061.23486,1
1091.39954,1117.35132,1
1091.79773,1077.9585,1
1092.38489,1154.4292,1
1092.76282,1105.31921,1
1094.53442,1019.73254,1
1094.89148,1074.22852,1
1095.5957,1014.36517,1
1095.7876,1012.63232,1
1095.9187,1070.77576,1
1096.7406,1006.53119,1
1097.01648,1067.85046,1
1097.43286,1106.15259,1
1097.52075,972.3386,1
1097.55542,1070.91663,1
1097.86646,998.5659,1
1097.91174,1146.02332,1
1098.31311,996.1267,1
1098.3811,1014.15076,1
1098.6145,1020.77545,1
1099.21021,992.2332,1
1099.69116,1113.74988,1
1099.736,1117.70935,1
1099.76624,903.6475,1
1099.81116,1101.13464,1
1100.01025,1054.20544,1
1100.07947,1086.86218,1
1100.4032,975.822632,1
1100.47607,1064.44116,1
1101.43726,999.305664,1
1101.48755,1060.818,1
1101.52209,942.939,1
1101.58,1047.47058,1
1101.60339,1113.83081,1
1101.61719,1018.3678,1
1101.64368,1137.0896,1
1101.67371,1120.32288,1
1101.74353,1092.48669,1
1101.79138,1081.4718,1
1102.08337,1050.5177,1
1102.15247,921.8565,1
1102.25745,1047.41248,1
1102.47485,1077.549,1
1102.953,982.85376,1
1103.004,1076.59058,1
1103.0553,998.6777,1
1103.138,1020.52563,1
1103.1698,1052.1676,1
1103.28186,1124.82227,1
1103.37512,1114.9967,1
1103.38269,1170.77771,1
1103.584,1077.63635,1
1103.63464,1065.83569,1
1103.695,1069.21777,1
1104.26306,1085.10681,1
1104.26819,1080.5199,1
1104.80811,1062.057,1
1105.35352,1044.64429,1
1105.40649,1117.10376,1
1105.65759,1160.47461,1
1105.96021,1074.93066,1
1106.07385,1058.19592,1
1106.30676,959.224,1
1106.52783,1085.49487,1
1106.74243,1078.38208,1
1106.79175,1082.99561,1
1106.90344,1106.96936,1
1107.18091,1047.4458,1
1107.42444,1006.86438,1
1107.505,1056.79932,1
1107.61133,1029.953,1
1107.80017,1101.6521,1
1107.90063,1105.09253,1
1107.90356,1151.5072,1
1107.95007,1048.3418,1
1108.09473,1121.61475,1
1108.14075,1040.213,1
1108.15356,1116.44092,1
1108.17114,1129.28491,1
1108.24573,1035.51819,1
1108.35657,998.0866,1
1108.41052,1056.48059,1
1108.83325,1099.074,1
1108.93127,1024.67041,1
1109.14966,1045.218,1
1109.1759,1060.37036,1
1109.219,974.5496,1
1109.67615,1025.35315,1
1109.88049,1047.74634,1
1110.17944,1034.65051,1
1110.24243,980.0147,1
1110.38232,1073.678,1
1110.42419,1138.73755,1
1110.54041,1014.70575,1
1110.56946,1119.85352,1
1110.70166,1045.55933,1
1110.877,1088.71375,1
1110.942,982.551636,1
1111.01355,1053.62585,1
1111.0271,1040.76184,1
1111.149,953.526062,1
1111.156,956.458862,1
1111.1748,970.911133,1
1111.3938,1034.14758,1
1111.53662,998.4009,1
1111.89087,1060.45337,1
1111.93274,1075.43738,1
1112.13257,1100.74658,1
1112.14233,1152.75427,1
1112.18848,1060.969,1
1112.33142,1104.05469,1
1112.33435,1020.70074,1
1112.70642,1027.39771,1
1112.7478,944.9133,1
1112.75391,1011.5509,1
1112.95422,972.8959,1
1112.975,1101.98914,1
1113.02075,1069.97424,1
1113.20264,1003.81549,1
1113.22632,1017.21179,1
1113.26575,1123.75916,1
1113.27429,1060.23352,1
1113.29932,1128.87061,1
1113.485,922.732849,1
1113.49438,1049.82251,1
1113.499,1094.27185,1
1113.59229,1007.03082,1
1113.63049,1031.18408,1
1113.79578,1042.15308,1
1113.94946,1115.94031,1
1113.98584,1071.1499,1
1114.09985,1015.0011,1
1114.26416,1119.06177,1
1114.47742,1052.88489,1
1114.55994,1026.9574,1
1114.61182,1046.92969,1
1114.7157,950.879639,1
1114.83545,1043.27747,1
1114.94812,1057.87878,1
1114.98474,1039.94263,1
1115.10059,1105.08264,1
1115.134,1005.59485,1
1115.33167,1043.40979,1
1115.61877,1012.50726,1
1115.71228,1096.94312,1
1115.82288,1056.48682,1
1116.00574,1137.29333,1
1116.04749,1029.7865,1
1116.12061,998.096436,1
1116.14832,1017.94434,1
1116.16345,954.4559,1
1116.39624,1031.20544,1
1116.42334,1114.84583,1
1116.65466,1099.13,1
1116.7262,956.911865,1
1116.76465,1186.80615,1
1116.76892,1109.39111,1
1116.80945,1070.66345,1
1116.83154,1051.843,1
1116.84314,1119.30823,1
1116.98975,1105.38928,1
1117.1051,1049.08582,1
1117.15918,1150.79333,1
1117.43408,980.485,1
1117.45313,1057.89648,1
1117.465,982.689636,1
1117.603,1117.54272,1
1117.63232,1019.81323,1
1117.73145,1112.55676,1
1117.73865,1134.41553,1
1117.83264,1039.33887,1
1117.85327,1037.26379,1
1117.90613,1075.69116,1
1118.01929,1082.89941,1
1118.11682,918.217,1
1118.169,1079.04358,1
1118.18274,1049.23511,1
1118.194,1012.805,1
1118.24243,1123.89551,1
1118.42078,1004.03046,1
1118.56042,1031.38257,1
1118.57727,1028.16968,1
1118.58594,1113.48035,1
1118.70068,1046.07849,1
1118.738,1082.33545,1
1118.84583,1068.75757,1
1118.89575,1108.27979,1
1118.94751,1143.44458,1
1118.96851,1043.24121,1
1118.97485,1120.63953,1
1119.03857,1063.07776,1
1119.09106,1095.87451,1
1119.10791,1135.51465,1
1119.15076,1128.05859,1
1119.32471,1075.579,1
1119.45984,1021.02875,1
1119.48657,1025.44434,1
1119.6908,1115.786,1
1119.76941,1033.22217,1
1119.82678,1134.0946,1
1119.84912,976.6107,1
1119.84973,1068.76233,1
1120.0625,1006.224,1
1120.07434,1069.39868,1
1120.079,1122.87048,1
1120.12939,1059.47815,1
1120.27466,1019.09955,1
1120.3396,1125.88733,1
1120.3916,1047.95227,1
1120.473,1084.13647,1
1120.47375,1071.14893,1
1120.51,1037.70947,1
1120.52588,1100.90076,1
1120.58557,1073.40161,1
1120.63818,1117.05688,1
1120.66272,1110.83936,1
1120.74829,1077.83325,1
1120.76135,1071.63843,1
1120.80518,1033.05737,1
1120.85144,1113.18665,1
1120.8894,1015.32269,1
1120.94727,1076.56506,1
1120.95862,1060.3562,1
1121.029,1047.07129,1
1121.10291,1010.41162,1
1121.19019,1082.77429,1
1121.30261,1071.3988,1
1121.30322,1014.00287,1
1121.37,1033.16565,1
1121.3916,1105.4303,1
1121.41711,1061.34607,1
1121.46509,1111.19287,1
1121.54053,1061.51526,1
1121.57642,1035.88757,1
1121.69031,1091.253,1
1121.69446,1025.86267,1
1121.70361,1087.36157,1
1121.87268,1021.85449,1
1121.92542,1062.83508,1
1121.92871,1071.56885,1
1121.98145,1092.12573,1
1122.00757,1118.507,1
1122.03821,1146.26428,1
1122.18091,1069.84656,1
1122.25647,1151.1261,1
