Ch1 Amplitude,Ch2 Amplitude,Cluster
1012.10663,1006.92548,1
1020.75433,925.9925,1
1023.36407,997.18,1
1026.86646,1072.09741,1
1035.6134,1031.15991,1
1040.43115,983.4203,1
1041.06653,1070.021,1
1044.72986,1093.00586,1
1045.43066,1139.64844,1
1045.836,1020.6748,1
1048.79846,1155.51428,1
1052.56677,1092.70508,1
1053.05359,1137.87793,1
1053.18665,1080.33386,1
1053.33582,1073.50269,1
1054.50525,1224.6853,1
1057.67834,1118.8877,1
1058.33325,1105.46387,1
1058.854,1155.862,1
1059.756,1154.89734,1
1059.98718,1161.901,1
1059.99353,1172.34143,1
1061.94189,1117.86646,1
1062.14844,1192.19043,1
1062.37549,1146.36707,1
1062.50391,1150.89758,1
1062.64648,1012.72845,1
1063.61108,1120.39111,1
1064.01392,1057.8324,1
1065.08179,1191.98547,1
1065.19641,1077.35754,1
1066.35461,1005.49951,1
1067.2262,1067.30334,1
1067.51428,1084.493,1
1067.78137,1076.68518,1
1068.40356,1158.85681,1
1069.24048,1096.51514,1
1069.8219,1062.7511,1
1069.94214,1099.52173,1
1070.24768,1140.80908,1
1070.27722,1107.59912,1
1070.30859,1173.51074,1
1070.55994,1153.78467,1
1071.03418,1194.719,1
1071.31714,1058.197,1
1071.45813,1216.458,1
1071.47424,921.226135,1
1071.55847,1138.4325,1
1071.59033,1081.84045,1
1071.813,1127.02051,1
1072.06421,1129.889,1
1072.06531,1045.74622,1
1072.83923,1186.20959,1
1073.03625,1168.21436,1
1073.12964,1179.73877,1
1073.68481,1233.29041,1
1073.83508,1169.65564,1
1074.00134,1122.38977,1
1074.06592,1185.51611,1
1075.26257,1152.77576,1
1075.51245,1172.82532,1
1075.77356,1130.689,1
1076.18237,1139.01892,1
1076.34229,1226.99133,1
1076.421,1101.62231,1
1076.4469,1068.512,1
1076.946,1122.68262,1
1077.23071,1154.23438,1
1077.371,1129.93811,1
1077.68823,1148.382,1
1077.70935,1087.33569,1
1077.89575,1100.39661,1
1078.01038,1173.15881,1
1078.28638,1195.58191,1
1078.30383,1151.67224,1
1078.44983,1144.66,1
1078.66846,1127.569,1
1079.114,1154.97546,1
1079.33862,1241.65161,1
1079.41687,1128.22156,1
1079.523,1102.18738,1
1079.76538,1117.53772,1
1080.083,1198.73267,1
1080.08936,1139.13318,1
1080.67188,1115.588,1
1080.78748,1105.56165,1
1080.92163,1228.51636,1
1081.3429,1119.18872,1
1081.96753,1135.18872,1
1082.35181,1140.62512,1
1082.593,1169.03516,1
1082.641,1205.14807,1
1083.10986,1136.28137,1
1083.15381,1079.90112,1
1083.30676,1039.47412,1
1083.57349,1132.26868,1
1083.98364,959.4556,1
1084.16174,1104.67188,1
1084.64063,1220.97632,1
1084.97656,1148.304,1
1085.01782,1174.25269,1
1085.43518,1126.34,1
1085.61633,1114.27234,1
1085.68408,1085.31665,1
1085.716,1148.16577,1
1085.85193,1106.777,1
1086.03809,1124.46082,1
1086.16772,1179.213,1
1086.1925,1137.6665,1
1086.2334,1175.24329,1
1086.67651,1172.05432,1
1086.92,1162.35449,1
1087.04773,1151.183,1
1087.14856,1045.53357,1
1087.31714,1230.757,1
1087.531,1177.38013,1
1087.62109,1166.00586,1
1087.69934,1113.81177,1
1087.90942,1124.18774,1
1088.55688,1157.3092,1
1088.56042,1207.61169,1
1088.7478,1165.44592,1
1088.86755,1109.45239,1
1088.95532,1144.61633,1
1088.9696,1123.785,1
1089.01355,1147.668,1
1089.21143,1164.2063,1
1089.3634,1165.85352,1
1089.64172,1093.96924,1
1089.78711,1158.70569,1
1089.85767,1132.54761,1
1089.87354,1149.75317,1
1089.91711,1107.37866,1
1090.06506,1138.92358,1
1090.06677,1061.13037,1
1090.11938,1162.15454,1
1090.22424,1150.25171,1
1090.24829,1134.03882,1
1090.28784,1212.43079,1
1090.34753,1175.3938,1
1090.62927,1165.44824,1
1090.88062,1069.5083,1
1090.98853,1162.84973,1
1091.00977,1097.58093,1
1091.01563,1184.82373,1
1091.07446,1162.924,1
1091.1709,1129.43176,1
1091.25366,1174.7511,1
1091.60046,1123.85852,1
1091.69983,1087.48779,1
1091.74365,1152.80627,1
1091.75964,1131.83472,1
1091.92175,1104.168,1
1091.925,1208.46533,1
1092.1261,1123.56677,1
1092.37878,1132.63086,1
1092.64551,1191.04285,1
1092.77222,1235.67566,1
