Ch1 Amplitude,Ch2 Amplitude,Cluster
995.708069,1206.23755,1
1036.6167,1079.81909,1
1048.50964,1139.66663,1
1051.14685,935.8426,1
1052.88086,1157.64331,1
1066.58594,1108.541,1
1066.77063,1051.24158,1
1073.3396,1110.081,1
1073.79858,1132.33374,1
1074.23083,1102.91565,1
1077.71948,1179.96277,1
1078.236,1144.29065,1
1078.4342,1147.39417,1
1078.66919,1003.67047,1
1080.61475,1114.09509,1
1081.29968,1160.79028,1
1082.92883,1067.69971,1
1084.05383,1177.9751,1
1085.15979,1042.998,1
1086.4989,1177.92,1
1086.74219,1166.10779,1
1087.07349,1198.57959,1
1087.22839,1155.772,1
1087.87292,1120.69409,1
1089.247,1189.68188,1
1089.71521,1160.00342,1
1090.93237,999.6092,1
1091.29846,1206.038,1
1091.37354,1124.15137,1
1091.88574,1153.96545,1
1094.1731,1166.20874,1
1094.32092,1156.70642,1
1095.70166,1168.37219,1
1095.89465,1096.47168,1
1096.13965,1176.46948,1
1096.55774,1126.7262,1
1096.66772,1127.68237,1
1097.13452,1159.95483,1
1097.242,1060.08484,1
1097.43066,1214.00635,1
1097.51306,1172.04773,1
1098.14,1114.29187,1
1098.452,1128.4176,1
1099.00964,1195.46472,1
1099.19519,1152.624,1
1099.28784,1155.12939,1
1099.59253,1183.419,1
1099.72961,1138.90979,1
1100.19043,1155.04272,1
1100.33716,1105.98889,1
1100.39587,1187.86292,1
1100.7373,1194.07837,1
1101.062,1141.02539,1
1101.36536,1142.44519,1
1101.48767,1145.03381,1
1101.6123,1194.51868,1
1101.69788,1148.29492,1
1101.901,1108.36487,1
1102.10754,1155.623,1
1102.11133,1151.78662,1
1102.23157,1122.07141,1
1102.82471,1143.48865,1
1103.38684,1109.12476,1
1103.49768,1089.5918,1
1103.80933,1092.26221,1
1104.13086,1080.49634,1
1104.20764,1095.68555,1
1104.39868,1145.59644,1
1104.44019,1152.11523,1
1104.8551,1169.77954,1
1105.02588,1139.62915,1
1105.374,1179.92139,1
1105.599,1178.05151,1
1105.64209,1085.65137,1
1105.89392,1134.965,1
1106.488,1123.88489,1
1106.51221,1134.388,1
1106.541,1132.16357,1
1106.60291,1090.87964,1
1106.98071,1163.63354,1
1107.06543,1105.70947,1
1107.11523,1140.602,1
1107.3562,1064.29651,1
1107.46021,1101.99255,1
1107.51514,1058.437,1
1107.68152,1165.45154,1
1108.02319,1135.27759,1
1108.53113,1177.35828,1
1108.63855,1200.62891,1
1108.67419,1162.04871,1
1108.81763,1172.925,1
1108.8783,1106.78271,1
1108.88867,1136.75854,1
1109.04541,1209.9668,1
1109.10522,1115.21472,1
1109.32117,1144.78687,1
1109.51306,1177.562,1
1109.54358,1125.66333,1
1109.54468,1198.24683,1
1109.70068,1185.09753,1
1109.71033,1191.88831,1
1110.11829,1151.86475,1
1110.35986,1094.002,1
1110.45435,1136.727,1
1110.49341,1123.34741,1
1110.5896,1195.19409,1
1111.256,1024.16833,1
1111.44739,1088.55872,1
1111.57043,1150.41382,1
1111.58911,1298.40466,1
1111.63159,1139.4093,1
1111.67773,1180.62012,1
1111.73926,1143.78943,1
1111.86316,1129.75256,1
1111.86487,1131.07166,1
1112.02063,1139.49524,1
1112.063,1122.91785,1
1112.19946,1169.04932,1
1112.20557,1062.5387,1
1112.52307,1169.60059,1
1112.59656,1156.34448,1
1112.6925,1139.65063,1
1113.07788,1062.9856,1
1113.09546,1125.84717,1
1113.1604,1126.24854,1
1113.163,1158.41382,1
1113.49634,1192.02173,1
1113.70032,1156.89941,1
1113.84119,1125.63867,1
1114.22412,1201.47144,1
1114.497,1124.45715,1
1114.55273,1086.454,1
1114.788,1108.30066,1
1115.00037,1156.54211,1
1115.01721,1139.58789,1
1115.13867,1146.12231,1
1115.14417,1176.93738,1
1115.19678,1078.9436,1
1115.40247,1170.73364,1
1115.53015,1174.63684,1
1115.56311,1135.77893,1
1115.78821,1179.91553,1
1115.804,1165.10986,1
1115.90881,1106.03723,1
1115.94922,1096.84534,1
1115.98682,1213.44116,1
1116.01257,1025.09521,1
1116.0752,1127.889,1
1116.1073,1130.019,1
1116.12085,1115.575,1
1116.123,1104.51111,1
1116.308,1039.33484,1
1116.40283,1161.91089,1
1116.50525,1134.76514,1
1116.67749,1166.52527,1
1117.10364,1070.598,1
1117.10486,1099.54724,1
1117.20886,1080.84009,1
1117.24683,1114.30017,1
1117.27234,1130.04443,1
1117.29468,1214.05334,1
