Ch1 Amplitude,Ch2 Amplitude,Cluster
885.7131,997.3607,1
895.9194,1121.833,1
897.621338,1025.2937,1
902.0918,975.309631,1
904.4777,976.3455,1
909.0628,1017.3092,1
911.756165,1116.479,1
920.9394,1090.66492,1
923.7643,1096.47815,1
924.9086,1050.29053,1
924.985535,1132.65088,1
925.4478,1183.035,1
926.3238,1106.382,1
927.8576,1187.2196,1
928.3193,1109.76257,1
928.9528,1095.25867,1
929.23584,924.14325,1
931.4875,1116.26611,1
931.832764,877.607544,1
933.1487,997.7178,1
933.5038,1121.91455,1
934.408752,1148.95044,1
937.0272,959.4787,1
937.7006,1207.70972,1
937.720764,1085.48071,1
937.8378,1059.79944,1
937.9793,1064.00439,1
938.692139,1122.9884,1
939.064453,1073.22375,1
939.201,1142.758,1
939.3662,1058.76355,1
939.795532,971.420166,1
939.9305,1022.97949,1
940.3404,1089.09851,1
940.5616,1157.18713,1
940.699463,1096.46277,1
942.216064,1027.11145,1
942.3723,1228.30066,1
942.8194,1181.12964,1
942.828,1109.00342,1
943.100342,1048.50671,1
943.8743,1170.23755,1
943.8914,1157.479,1
944.3163,1097.39709,1
944.762268,1104.46411,1
945.0946,1135.6554,1
945.625549,1040.10022,1
945.9031,1013.87695,1
946.3582,1111.24939,1
946.3779,1131.09021,1
946.402344,1107.66357,1
946.501648,1156.27771,1
946.5689,1040.1134,1
946.7185,1199.97644,1
946.764465,1010.74329,1
947.3779,1149.001,1
947.511169,1075.74438,1
947.881348,987.3761,1
947.9223,1099.29871,1
948.140137,1034.317,1
948.308838,1125.13354,1
948.3475,1070.2616,1
948.5354,1080.06384,1
948.683838,1075.53662,1
948.743164,1107.29968,1
948.817261,1091.85437,1
949.443542,1069.63464,1
949.5631,1051.79187,1
949.737061,1088.75708,1
949.9095,1136.20886,1
950.0272,1104.0896,1
950.1183,948.5702,1
950.2438,1090.96985,1
950.3379,1105.23425,1
950.3513,961.54834,1
950.715,1035.0387,1
950.7799,1112.497,1
950.9666,1086.10876,1
951.0317,1097.16992,1
951.0601,946.677246,1
951.3425,1078.99524,1
951.4082,1137.46045,1
951.5238,1107.20166,1
951.5342,1012.10938,1
951.565857,1066.01831,1
951.6566,1094.555,1
951.8871,1085.55115,1
951.998,1093.343,1
952.019043,1160.88611,1
952.1069,1115.823,1
952.1152,1054.665,1
952.1242,1076.05615,1
952.156738,1079.05615,1
952.3113,1138.35034,1
952.476868,1037.37219,1
952.6401,1054.54724,1
952.6809,1069.13245,1
952.962463,1051.36853,1
953.110962,1106.31628,1
