Ch1 Amplitude,Ch2 Amplitude,Cluster
935.9264,923.6903,1
1021.69403,863.9278,1
1027.65393,828.7314,1
1051.8833,1070.02258,1
1064.14648,1151.70752,1
1075.8269,1124.96606,1
1076.821,986.2197,1
1078.42041,1171.88257,1
1084.94189,1163.6189,1
1095.43225,961.155457,1
1099.75842,1172.79565,1
1100.12439,1114.38977,1
1101.01062,1147.64221,1
1101.33545,959.6155,1
1103.54333,1076.86243,1
1103.94482,1175.27124,1
1105.70667,1030.44006,1
1107.71814,1113.92493,1
1109.886,1096.16736,1
1113.89587,1147.106,1
1114.54077,1077.6366,1
1114.71545,1040.06873,1
1115.19385,1088.269,1
1115.4364,985.993958,1
1116.45056,1056.25671,1
1116.53052,1159.98584,1
1116.6593,1005.66968,1
1117.12756,1048.10767,1
1117.26758,1114.66284,1
1117.644,1152.72278,1
1118.70947,1029.98962,1
1118.89758,1130.04724,1
1119.1886,1142.41235,1
1121.3075,1063.28235,1
1122.42725,1129.1123,1
1123.22327,1072.43921,1
1123.46619,1093.57507,1
1123.59192,1116.09888,1
1123.8634,1133.22339,1
1125.00781,1084.8512,1
1125.24023,1185.28479,1
1125.34766,1181.289,1
1126.10181,1167.42712,1
1126.87439,1110.53967,1
1127.25354,1179.43921,1
1127.3158,1064.63477,1
1127.36487,1097.12769,1
1127.54749,982.009949,1
1128.34277,1084.963,1
1129.42346,1083.00085,1
1129.51721,1079.20715,1
1129.78259,1168.00684,1
1129.89038,1016.75848,1
1130.23523,1155.136,1
1130.43677,1183.64844,1
1130.49768,1121.91479,1
1130.60034,1151.766,1
1131.03613,1208.62585,1
1131.77161,1114.75671,1
1132.61475,1089.48975,1
1132.92566,1123.939,1
1132.98608,1186.425,1
1133.10852,1062.96521,1
1133.73645,985.434448,1
1133.94312,1061.0155,1
1134.24158,1084.707,1
1134.54846,1048.0509,1
1134.60327,1098.20178,1
1134.63074,1048.868,1
1135.1626,1077.42065,1
1135.50684,1120.982,1
