Ch1 Amplitude,Ch2 Amplitude,Cluster
972.450745,859.3023,1
993.2064,827.087952,1
1019.10413,982.984863,1
1059.89355,885.997131,1
1063.54712,1007.65729,1
1067.29419,878.087952,1
1067.53882,875.462769,1
1072.36914,902.314148,1
1073.40674,920.880066,1
1075.52039,801.0737,1
1077.46436,885.0007,1
1079.57947,901.1821,1
1080.20288,937.2994,1
1080.34839,929.7679,1
1081.26575,902.9175,1
1086.24414,970.6615,1
1087.22778,950.923,1
1089.54541,868.2662,1
1089.72986,945.3925,1
1090.70129,1023.31281,1
1090.91479,1043.734,1
1092.10913,2139.83374,4
1092.27722,1019.03046,1
1094.0343,907.9694,1
1096.33984,827.735046,1
1097.22473,956.2862,1
1097.27222,873.7116,1
1100.14221,917.79,1
1101.00427,980.2675,1
1101.69788,886.358154,1
1102.08813,934.196045,1
1102.09839,1023.37122,1
1102.99585,896.7028,1
1103.1377,1048.17676,1
1104.06885,1046.27991,1
1104.48059,991.7243,1
1104.5553,862.449646,1
1105.30627,932.3163,1
1106.16968,1106.9884,1
1106.42163,986.0625,1
1106.6001,1079.19421,1
1106.85339,962.907166,1
1107.84521,907.8298,1
1108.40723,874.6453,1
1109.49316,842.615662,1
1109.6781,872.873047,1
1109.91,977.2801,1
1110.77539,902.4517,1
1110.83667,1030.50671,1
1111.2345,978.680054,1
1111.27893,1024.80688,1
1111.33655,947.8555,1
1111.57422,1045.33081,1
1112.58276,955.6686,1
1112.74426,963.483948,1
1113.01318,870.1742,1
1113.6582,976.6276,1
1114.29053,919.386353,1
1114.5166,924.901062,1
1115.03625,924.8893,1
1115.36609,1034.73547,1
1116.34119,873.649353,1
1116.814,994.83,1
1116.87573,1012.54321,1
1116.98035,1021.22528,1
1117.00256,957.5221,1
1117.24561,992.0214,1
1117.64221,957.884644,1
1118.28345,918.4332,1
1118.5061,896.591431,1
1118.6145,971.849731,1
1119.0802,1030.14355,1
1119.393,989.6423,1
1119.73132,950.28656,1
1120.04065,1006.01361,1
1120.23425,1072.51367,1
1120.448,966.2635,1
1120.54492,1064.00134,1
1120.583,978.78595,1
